String,Label,Count
ना:,7,0
कुुय,7,0
कव,7,0
फ़िल्र,7,0
तॉल,7,0
पेन्श,7,0
अन्टा,7,0
विका,7,0
हनड़,7,0
हफ़ल,7,0
अज़्ज़म,7,0
स्घोट,7,0
भीर्ड,7,0
जुल्क,7,0
आल्गा,7,0
नायू,7,0
नूला,7,0
रेम्ना,7,0
अक्सित,7,0
रिहाक,7,0
बुगज़ू,7,0
हन्गा,7,0
सलन्क,7,0
मसरह,7,0
ग्यान्त,7,0
ओंटना,7,0
गायून,7,0
तमघ,7,0
फुस्से,7,0
सिफूत,7,0
लालीस,7,0
युतको,7,0
जांख,7,0
फैखी,7,0
इलाहना,7,0
अबख़दा,7,0
अनातक,7,0
काराईट,7,0
वाविमा,7,0
उटकाना,7,0
पनिवैश,7,0
ननदान्स,7,0
लिठाई,7,0
सफेरी,7,0
उन्जुका,7,0
अनाकषत,8,0
इन्स्टारा,8,0
मुनमूल्य,8,0
अपरचन,8,0
शीस्करण,8,0
किरनोवक,8,0
नसविष्का,8,0
ताजपुन,8,0
तजरील,8,0
बेशिध्र,8,0
ज़सूची,8,0
परीथाम,8,0
दुमार्डा,8,0
पताग्ना,8,0
धुरन्वै,8,0
बेन्सीना,8,0
किन्हूता,8,0
वीशकाला,8,0
बामल्लें,8,0
धोगिमन,8,0
केलिफोन,8,0
जफजा,8,0
यर्धबाद,8,0
परिमयता,8,0
बिशुभावल,8,0
आत्मखाई,8,0
शद्रगानी,8,0
हरखिनित्व,8,0
असनस्पेतक,8,0
औरावस्था,8,0
देहमूनिका,8,0
रुदनीवाला,8,0
पदन्शानिया,8,0
श्रिहागनतन,8,0
उल्गारेषियों,8,0
तामबूलियों,8,0
मायामामन्द,8,0
क्राब्लोनेविक,8,0
दुस्सवपार्शिक,8,0
राइकरषिक्ता,8,0
साथ्यदारी,8,0
मुर्तववादी,8,0
गुठ्रानेबाद,8,0
प्रात्रिषक्षत,8,0
कोरुपाशवादी,8,0
